PFCv2 Primary,PFCv2 Detailed,,PFCv1 Primary,PFCv1 Detailed
FOOD_AND_DRINK,FOOD_AND_DRINK_BEER_WINE_AND_LIQUOR,,FOOD_AND_DRINK,FOOD_AND_DRINK_BEER_WINE_AND_LIQUOR
FOOD_AND_DRINK,FOOD_AND_DRINK_COFFEE,,FOOD_AND_DRINK,FOOD_AND_DRINK_COFFEE
FOOD_AND_DRINK,FOOD_AND_DRINK_FAST_FOOD,,FOOD_AND_DRINK,FOOD_AND_DRINK_FAST_FOOD
FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES,,FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES
FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT,,FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT
FOOD_AND_DRINK,FOOD_AND_DRINK_VENDING_MACHINES,,FOOD_AND_DRINK,FOOD_AND_DRINK_VENDING_MACHINES
FOOD_AND_DRINK,FOOD_AND_DRINK_OTHER_FOOD_AND_DRINK,,FOOD_AND_DRINK,FOOD_AND_DRINK_OTHER_FOOD_AND_DRINK
GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_BOOKSTORES_AND_NEWSSTANDS,,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_BOOKSTORES_AND_NEWSSTANDS
GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES
GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_CONVENIENCE_STORES,,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_CONVENIENCE_STORES
GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_DEPARTMENT_STORES,,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_DEPARTMENT_STORES
GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_DISCOUNT_STORES,,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_DISCOUNT_STORES
GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_ELECTRONICS,,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_ELECTRONICS
GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_GIFTS_AND_NOVELTIES,,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_GIFTS_AND_NOVELTIES
GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_OFFICE_SUPPLIES,,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_OFFICE_SUPPLIES
GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES,,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES
GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_PET_SUPPLIES,,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_PET_SUPPLIES
GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_SPORTING_GOODS,,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_SPORTING_GOODS
GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_SUPERSTORES,,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_SUPERSTORES
GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_TOBACCO_AND_VAPE,,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_TOBACCO_AND_VAPE
GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_OTHER_GENERAL_MERCHANDISE,,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_OTHER_GENERAL_MERCHANDISE
HOME_IMPROVEMENT,HOME_IMPROVEMENT_FURNITURE,,HOME_IMPROVEMENT,HOME_IMPROVEMENT_FURNITURE
HOME_IMPROVEMENT,HOME_IMPROVEMENT_HARDWARE,,HOME_IMPROVEMENT,HOME_IMPROVEMENT_HARDWARE
HOME_IMPROVEMENT,HOME_IMPROVEMENT_REPAIR_AND_MAINTENANCE,,HOME_IMPROVEMENT,HOME_IMPROVEMENT_REPAIR_AND_MAINTENANCE
HOME_IMPROVEMENT,HOME_IMPROVEMENT_SECURITY,,HOME_IMPROVEMENT,HOME_IMPROVEMENT_SECURITY
HOME_IMPROVEMENT,HOME_IMPROVEMENT_OTHER_HOME_IMPROVEMENT,,HOME_IMPROVEMENT,HOME_IMPROVEMENT_OTHER_HOME_IMPROVEMENT
MEDICAL,MEDICAL_DENTAL_CARE,,MEDICAL,MEDICAL_DENTAL_CARE
MEDICAL,MEDICAL_EYE_CARE,,MEDICAL,MEDICAL_EYE_CARE
MEDICAL,MEDICAL_NURSING_CARE,,MEDICAL,MEDICAL_NURSING_CARE
MEDICAL,MEDICAL_PHARMACIES_AND_SUPPLEMENTS,,MEDICAL,MEDICAL_PHARMACIES_AND_SUPPLEMENTS
MEDICAL,MEDICAL_PRIMARY_CARE,,MEDICAL,MEDICAL_PRIMARY_CARE
MEDICAL,MEDICAL_VETERINARY_SERVICES,,MEDICAL,MEDICAL_VETERINARY_SERVICES
MEDICAL,MEDICAL_OTHER_MEDICAL,,MEDICAL,MEDICAL_OTHER_MEDICAL
PERSONAL_CARE,PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS,,PERSONAL_CARE,PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS
PERSONAL_CARE,PERSONAL_CARE_HAIR_AND_BEAUTY,,PERSONAL_CARE,PERSONAL_CARE_HAIR_AND_BEAUTY
PERSONAL_CARE,PERSONAL_CARE_LAUNDRY_AND_DRY_CLEANING,,PERSONAL_CARE,PERSONAL_CARE_LAUNDRY_AND_DRY_CLEANING
PERSONAL_CARE,PERSONAL_CARE_OTHER_PERSONAL_CARE,,PERSONAL_CARE,PERSONAL_CARE_OTHER_PERSONAL_CARE
GENERAL_SERVICES,GENERAL_SERVICES_ACCOUNTING_AND_FINANCIAL_PLANNING,,GENERAL_SERVICES,GENERAL_SERVICES_ACCOUNTING_AND_FINANCIAL_PLANNING
GENERAL_SERVICES,GENERAL_SERVICES_AUTOMOTIVE,,GENERAL_SERVICES,GENERAL_SERVICES_AUTOMOTIVE
GENERAL_SERVICES,GENERAL_SERVICES_CHILDCARE,,GENERAL_SERVICES,GENERAL_SERVICES_CHILDCARE
GENERAL_SERVICES,GENERAL_SERVICES_CONSULTING_AND_LEGAL,,GENERAL_SERVICES,GENERAL_SERVICES_CONSULTING_AND_LEGAL
GENERAL_SERVICES,GENERAL_SERVICES_EDUCATION,,GENERAL_SERVICES,GENERAL_SERVICES_EDUCATION
GENERAL_SERVICES,GENERAL_SERVICES_INSURANCE,,GENERAL_SERVICES,GENERAL_SERVICES_INSURANCE
GENERAL_SERVICES,GENERAL_SERVICES_POSTAGE_AND_SHIPPING,,GENERAL_SERVICES,GENERAL_SERVICES_POSTAGE_AND_SHIPPING
GENERAL_SERVICES,GENERAL_SERVICES_STORAGE,,GENERAL_SERVICES,GENERAL_SERVICES_STORAGE
GENERAL_SERVICES,GENERAL_SERVICES_OTHER_GENERAL_SERVICES,,GENERAL_SERVICES,GENERAL_SERVICES_OTHER_GENERAL_SERVICES
GOVERNMENT_AND_NON_PROFIT,GOVERNMENT_AND_NON_PROFIT_DONATIONS,,GOVERNMENT_AND_NON_PROFIT,GOVERNMENT_AND_NON_PROFIT_DONATIONS
GOVERNMENT_AND_NON_PROFIT,GOVERNMENT_AND_NON_PROFIT_GOVERNMENT_DEPARTMENTS_AND_AGENCIES,,GOVERNMENT_AND_NON_PROFIT,GOVERNMENT_AND_NON_PROFIT_GOVERNMENT_DEPARTMENTS_AND_AGENCIES
GOVERNMENT_AND_NON_PROFIT,GOVERNMENT_AND_NON_PROFIT_TAX_PAYMENT,,GOVERNMENT_AND_NON_PROFIT,GOVERNMENT_AND_NON_PROFIT_TAX_PAYMENT
GOVERNMENT_AND_NON_PROFIT,GOVERNMENT_AND_NON_PROFIT_OTHER_GOVERNMENT_AND_NON_PROFIT,,GOVERNMENT_AND_NON_PROFIT,GOVERNMENT_AND_NON_PROFIT_OTHER_GOVERNMENT_AND_NON_PROFIT
TRANSPORTATION,TRANSPORTATION_BIKES_AND_SCOOTERS,,TRANSPORTATION,TRANSPORTATION_BIKES_AND_SCOOTERS
TRANSPORTATION,TRANSPORTATION_GAS,,TRANSPORTATION,TRANSPORTATION_GAS
TRANSPORTATION,TRANSPORTATION_PARKING,,TRANSPORTATION,TRANSPORTATION_PARKING
TRANSPORTATION,TRANSPORTATION_PUBLIC_TRANSIT,,TRANSPORTATION,TRANSPORTATION_PUBLIC_TRANSIT
TRANSPORTATION,TRANSPORTATION_TAXIS_AND_RIDE_SHARES,,TRANSPORTATION,TRANSPORTATION_TAXIS_AND_RIDE_SHARES
TRANSPORTATION,TRANSPORTATION_TOLLS,,TRANSPORTATION,TRANSPORTATION_TOLLS
TRANSPORTATION,TRANSPORTATION_OTHER_TRANSPORTATION,,TRANSPORTATION,TRANSPORTATION_OTHER_TRANSPORTATION
TRAVEL,TRAVEL_FLIGHTS,,TRAVEL,TRAVEL_FLIGHTS
TRAVEL,TRAVEL_LODGING,,TRAVEL,TRAVEL_LODGING
TRAVEL,TRAVEL_RENTAL_CARS,,TRAVEL,TRAVEL_RENTAL_CARS
TRAVEL,TRAVEL_OTHER_TRAVEL,,TRAVEL,TRAVEL_OTHER_TRAVEL
RENT_AND_UTILITIES,RENT_AND_UTILITIES_GAS_AND_ELECTRICITY,,RENT_AND_UTILITIES,RENT_AND_UTILITIES_GAS_AND_ELECTRICITY
RENT_AND_UTILITIES,RENT_AND_UTILITIES_INTERNET_AND_CABLE,,RENT_AND_UTILITIES,RENT_AND_UTILITIES_INTERNET_AND_CABLE
RENT_AND_UTILITIES,RENT_AND_UTILITIES_RENT,,RENT_AND_UTILITIES,RENT_AND_UTILITIES_RENT
RENT_AND_UTILITIES,RENT_AND_UTILITIES_SEWAGE_AND_WASTE_MANAGEMENT,,RENT_AND_UTILITIES,RENT_AND_UTILITIES_SEWAGE_AND_WASTE_MANAGEMENT
RENT_AND_UTILITIES,RENT_AND_UTILITIES_TELEPHONE,,RENT_AND_UTILITIES,RENT_AND_UTILITIES_TELEPHONE
RENT_AND_UTILITIES,RENT_AND_UTILITIES_WATER,,RENT_AND_UTILITIES,RENT_AND_UTILITIES_WATER
RENT_AND_UTILITIES,RENT_AND_UTILITIES_OTHER_UTILITIES,,RENT_AND_UTILITIES,RENT_AND_UTILITIES_OTHER_UTILITIES
OTHER,OTHER_OTHER,,TRANSFER_IN / TRANSFER_OUT,TRANSFER_IN_OTHER_TRANSFER_IN / TRANSFER_OUT_OTHER_TRANSFER_OUT
